Timestamp,Scan_Type,Object_Detected,Condition_Status
"2026-02-10 00:59:49","VISION_SCAN","IMAGE_ENTITY","Mango: Anthracnose"
"2026-02-10 01:23:22","VISION_SCAN","IMAGE_ENTITY","Citrus Fruit, REASONING: Dark brown, sunken lesions with a slight depression in the center, indicating a fungal infection, possibly Botrytis. TREATMENT: ICAR Protocol for Citrus Post-Botrytis Disease, FERTILIZER: NPK 15-15-15, specific brands like Kumud, Priyanka."
"2026-02-10 01:23:55","VISION_SCAN","IMAGE_ENTITY","Citrus Fruit, REASONING: The fruit exhibits significant discoloration and decay, indicative of a fungal disease, likely Alternaria or Botrytis. TREATMENT: The affected citrus should be discarded immediately. For prevention, apply copper-based fungicides as per the ICAR protocol. FERTILIZER: Use Azadirachtin-based fertilizers like "Biokleen" or "Green Guard," which are known for their disease-resistant properties in citrus plants."
"2026-02-10 01:24:25","VISION_SCAN","IMAGE_ENTITY","Orange"
"2026-02-10 01:42:12","VISION_SCAN","IMAGE_ENTITY","Citrus Fruit, REASONING: The fruit displays significant browning and decay, indicative of a fungal infection, possibly Alternaria or Botrytis. TREATMENT: ICAR protocol for citrus canker (a similar issue) involves fungal suppression and pruning affected areas. FERTILIZER: Specific Indian brands like Divine Green CitriMax and Citri-Life are effective for enhancing citrus health and resistance to such infections."
"2026-02-10 23:36:03","VISION_SCAN","IMAGE_ENTITY","Orange (Citrus), REASONING: The fruit displays dark, sunken lesions with a brownish-black discoloration and a possible infection point, indicative of a fungal disease commonly known as Citrus Black Spot. TREATMENT: Implement a systemic fungicide application using copper-based products, following the guidelines of the ICAR (Indian Council of Agricultural Research) for citrus Management of Citrus Black Spot. FERTILIZER: Opt for a balanced NPK fertilizer, specifically formulated for citrus, such as "Citrus Excel" or "CitrusCare" from Indian brands, to strengthen the plant's defense mechanisms against diseases.**"
"2026-02-10 23:36:50","VISION_SCAN","IMAGE_ENTITY","The crop in the image appears to be an Orange. Upon close inspection, the orange shows signs of Advanced Rot, characterized by the dark, sunken lesions with a fuzzy or powdery surface, which are typical symptoms of decay caused by fungal pathogens."
"2026-02-10 23:54:58","VISION_SCAN","IMAGE_ENTITY","Apple (Fuji)"
"2026-02-10 23:55:42","VISION_SCAN","IMAGE_ENTITY","**Crop Identification: Apple (Fuji)**"
"2026-02-11 00:00:08","VISION_SCAN","IMAGE_ENTITY","**Crop:** Viola (Pansy)"
